Date,MMM,AOS,ABT,ABBV,ACN,ADM,ADBE,ADP,AES,AFL,A,ABNB,APD,AKAM,ALK,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN
06-04-2022,139.4411774,62.49409866,116.054985,157.8847198,331.2873535,90.0675354,444.3299866,230.6897125,24.16880989,62.68144226,131.3187256,164.6600037,240.9514313,119.5899963,55.04000092,209.3149719,194.5025177,421.7399902,104.77845,61.54105377,133.163147,136.5480042,137.1759949,47.46806717,158.7559967
07-04-2022,139.1164551,61.26551056,119.3738785,161.9694824,332.7575378,91.18331909,452.7200012,231.3785095,23.93167686,62.77776337,134.5049591,165.9100037,242.1749725,119.3399963,53.40000153,209.6910858,191.965744,422.1799927,106.2281189,60.75715256,134.4945831,135.888504,136.4649963,47.37988281,157.7845001
08-04-2022,138.986557,60.82049561,119.2577744,163.5398407,329.9827271,92.41551971,445.3399963,230.6121063,23.55225945,63.11492157,133.4560852,162.5599976,242.0111847,118.3600006,52.29000092,208.849762,191.3339081,420.5599976,104.5139771,61.21992874,135.950531,133.2875061,134.010498,47.71497345,154.460495
11-04-2022,139.2741547,61.29453278,116.151741,158.7446747,318.6398926,91.75576019,434.4400024,224.0636444,23.41946411,62.79704285,129.8839111,160.25,240.6912994,118.0100021,52.81999969,203.9007111,187.2411194,409.6900024,104.3376465,60.77603912,136.8796844,128.8235016,129.7964935,48.01478958,151.121994
12-04-2022,137.8454285,62.3876915,114.5551834,156.3891754,318.1141052,92.24087524,426.769989,224.160675,23.19181442,62.50805283,124.07547,160.1100006,238.7162781,117.9300003,53.45000076,202.9307098,186.1943359,406.230011,103.6324081,61.0404892,136.1325378,127.7145004,128.3744965,48.42042542,150.7875061
13-04-2022,137.9196472,62.59085083,116.0706635,149.8376007,317.9480896,92.70659637,431.6700134,226.7606659,23.210783,62.60437393,126.9450607,171.8500061,240.7779999,119.1900024,56.24000168,210.3344879,187.0053558,416.9100037,105.9734421,60.05824661,135.9026642,129.8939972,130.2859955,48.32342911,155.5410004
14-04-2022,136.732132,61.71051025,114.331749,153.0049744,311.9717712,94.02613068,420.4400024,222.3562012,23.15387344,62.93190384,125.1144714,170.6999969,237.8106537,118.9899979,57.11000061,208.7408905,185.0060883,409.8200073,105.2290115,59.86935425,135.2129669,126.7300034,127.2529984,48.48215103,151.7064972
18-04-2022,135.6188202,61.275177,112.9716873,150.2240906,306.239563,93.58950806,425.4700012,220.4159241,22.85982323,63.11492157,122.5417175,165.7400055,237.0013885,119.4400024,56.84999847,207.5333099,183.0917053,405.8800049,104.4160156,59.22712326,133.8432007,127.6764984,127.9609985,48.14706039,152.7850037
19-04-2022,139.2556152,63.23900223,116.5563965,147.3866425,313.04599,93.07529449,436.3999939,222.7442932,23.16335678,63.08602142,125.2035217,170.1199951,240.4408112,121.3399963,58.27000046,215.9268951,186.2980499,424.5400085,107.0509033,60.33214569,135.7685547,130.0090027,130.5310059,48.69378662,158.1154938
20-04-2022,139.7101898,64.13868713,119.1404877,147.7165985,316.0731812,95.29714203,428.1099854,225.6740875,23.6281395,64.17455292,128.0137329,164.5500031,239.6411743,121.9199982,58.68999863,214.9766998,189.5421295,419.1799927,110.2832947,61.49382782,137.7992096,128.0399933,128.2454987,48.82606125,153.9980011
21-04-2022,140.8049469,64.13868713,119.8496704,149.4322357,314.7451172,93.19171906,417.480011,223.3069458,21.82591629,63.09564972,123.9765167,157.9100037,241.9533691,119.9599991,58.77999878,205.1280823,188.2878723,383.6300049,109.7935333,60.87047958,135.1842499,124.8144989,124.9375,49.84896088,148.2960052
22-04-2022,138.392807,62.62953949,116.2260971,146.1046295,303.505249,89.43687439,408.6700134,216.8458252,21.33267403,61.0438385,120.0481339,156.0899963,234.0340271,117.1399994,56.54999924,198.5953369,184.6288605,360.5700073,112.1639557,59.61434174,126.5059509,119.635498,119.6139984,48.96714783,144.3500061
25-04-2022,137.8639679,62.52312469,116.585556,147.3395081,309.3839417,88.25317383,413.9500122,220.2801208,20.94377136,60.10945511,120.1767731,158.3899994,233.8799133,118.7600021,56.43999863,196.4375458,182.0072174,368.8599854,112.3696594,58.62266922,126.2664642,123.0739975,123.25,48.70260239,146.0740051
26-04-2022,133.8004303,60.33679962,113.6322937,147.2263794,295.9860229,87.94270325,399.1199951,215.6428223,20.24185562,58.53928375,116.7035675,153.0399933,227.0107422,115.0299988,53.86000061,185.8466034,179.743927,361.2999878,111.8897095,58.20710373,123.5461121,118.6500015,119.5059967,48.39396667,139.3910065
27-04-2022,133.7911377,60.83985138,113.3894272,148.5838318,295.9860229,91.12509155,397.8999939,221.1920319,20.01420212,58.58744812,116.4462967,152.2299957,229.5348816,113.6999969,54.29000092,190.2710571,176.7073212,360.4299927,113.6430283,57.4420929,122.9618073,114.2945023,115.0205002,48.42924118,138.1670074
28-04-2022,136.5094757,58.17732239,114.6426239,147.3489227,306.4739075,89.75705719,410.5299988,222.8218689,20.10786247,57.08471298,119.7908554,159.7400055,231.6833191,115.8300018,55.54000092,193.2701569,179.5930328,304.6600037,116.7578659,58.23915863,124.8488159,118.5224991,119.411499,48.67615128,144.5964966
29-04-2022,133.8004303,56.7780304,110.2613068,138.4595795,293.3102722,86.89484406,395.9500122,211.6652527,19.51532936,55.17739105,118.0196304,153.2100067,225.5077972,112.2799988,54.38999939,190.8649445,171.7846375,289.9100037,111.8994904,55.93736649,121.2089157,114.1094971,114.9664993,49.00242615,124.2815018
02-05-2022,135.3683472,57.64286804,109.6104279,139.3927917,297.4507751,86.65228271,407.2900085,212.771225,19.68735504,55.19665909,118.3164902,152.7799988,226.7891235,112.3099976,53.06000137,189.4693146,168.0030212,308.8800049,112.4284363,55.02425766,122.3487854,116.5830002,117.1569977,48.83488083,124.5
03-05-2022,137.381546,57.42908859,109.2218399,141.0236359,297.6656189,87.08888245,407.5799866,214.9249268,19.8020401,55.79389954,121.1168213,145,230.3537903,113.8000031,53.06000137,195.1112061,170.2286072,301.019989,113.0357285,54.97669983,124.3124084,117.3339996,118.1295013,48.88778305,124.2535019
04-05-2022,143.0872345,59.89727402,112.3985367,142.8995514,307.4699402,88.43753052,423.3500061,222.0457764,20.94887352,57.48929214,124.9759369,156.1799927,238.4369049,102.7699966,53.5,213.274231,173.8121796,310.8900146,116.0330276,56.31782913,128.0480957,122.2610016,122.5749969,49.73432922,125.9284973
05-05-2022,138.6618347,57.26388931,109.7852859,143.4557343,291.6893005,86.74930573,400.5100098,212.033905,20.38501549,55.89986038,120.8694458,143.0899963,227.3479309,98.66999817,51.13999939,234.08992,168.9743652,283.7200012,111.4293289,55.98492432,126.0365829,116.5055008,116.7464981,49.33750534,116.4069977
06-05-2022,138.7267914,57.72060394,109.0664139,144.0684509,288.7987061,87.05978394,391.0100098,210.4622955,20.01229286,56.09252167,119.8106689,135.8399963,227.1937714,95.37000275,50.22000122,239.939682,166.6167603,280.4100037,110.2637177,55.87078476,125.0595474,115.7464981,115.6600037,49.8842392,114.7724991
09-05-2022,141.3708801,58.09957886,104.3256607,142.3056488,280.7423401,81.84958649,376.9100037,203.5257874,19.17127609,55.44711685,111.9242096,119.3700027,224.6889038,95.5,47.27000046,219.3813171,157.7427368,268.9599915,111.5174866,55.85176468,123.5269623,112.5110016,113.0839996,48.72906113,108.7890015
10-05-2022,138.3464203,57.29304504,103.7039185,143.3708649,280.8400269,82.44143677,393.0299988,205.999649,19.07570648,55.23518753,115.4171982,116.1299973,222.2417755,97.23000336,47.47000122,219.1734772,153.8668365,258.1300049,108.4418106,55.1954689,124.1304092,114.3949966,114.5845032,45.47516632,108.8590012
